https://sivalabs.in/2020/02/spring-boot-integration-testing-using-testcontainers-starter/,SpringBoot Integration Testing using TestContainers Starter
https://rachelcarmena.github.io/2018/12/12/how-to-teach-git.html,How to teach Git
https://medium.com/faun/continuous-integration-of-java-project-with-github-actions-7a8a0e8246ef,Continuous Integration of Java project with GitHub Actions
https://www.marcobehler.com/guides/java-microservices-a-practical-guide,Java Microservices: A Practical Guide
https://reflectoring.io/unit-testing-spring-boot/,All You Need To Know About Unit Testing with Spring Boot
https://www.sivalabs.in/2021/03/springboot-application-deployment-monitoring-part-2-jenkins-setup/,SpringBoot application deployment and monitoring series - Part 2 - Build Server Setup using Jenkins
https://www.sivalabs.in/2021/03/springboot-application-deployment-monitoring-part-1/,SpringBoot application deployment and monitoring series - Part 1 - Build Services
https://www.sivalabs.in/2021/01/improve-jpa-performance-using-hypersistence-optimizer/,Improve JPA application performance using HypersistenceOptimizer
https://www.sivalabs.in/2020/12/quirks-of-spring-testconfiguration/,Quirks of Spring's @TestConfiguration
https://www.sivalabs.in/2020/11/my-thoughts-on-cleancode-simplicity-automation-empathy/,My Thoughts on CleanCode, Simplicity, Automation and Empathy
https://www.sivalabs.in/2020/09/localstack-spring-boot-starter-tutorial/,LocalStack SpringBoot Starter Tutorial
https://www.sivalabs.in/2020/09/all-the-resources-you-ever-need-as-a-java-spring-application-developer/,All the resources you ever need as a Java & Spring application developer
https://www.sivalabs.in/2020/07/golang-from-a-java-developer-perspective/,GoLang from a Java developer perspective
https://www.sivalabs.in/2020/05/remote-debugging-spring-boot-application/,Remote debugging SpringBoot application
https://www.sivalabs.in/2020/04/impose-architecture-guidelines-using-archunit/,Imposing Code Structure Guidelines using ArchUnit
https://www.sivalabs.in/2020/02/spring-boot-integration-testing-using-testcontainers-starter/,SpringBoot Integration Testing using TestContainers Starter
https://www.sivalabs.in/2020/01/creating-yeoman-based-springboot-generator/,Creating Yeoman based SpringBoot Generator
https://www.sivalabs.in/2019/10/testing-rest-apis-with-postman-newman/,Testing REST APIs using Postman and Newman
https://www.sivalabs.in/2019/10/spring-boot-testing/,Testing SpringBoot Applications
https://www.sivalabs.in/2019/05/spring-boot-best-practices/,SpringBoot Best Practices
